transaction_id,transaction_date,transaction_time,store_location,product_category,product_type,product_detail,Size,unit_price,quantity,total,payment_type,customer_id
T101090,1/10/2024,11:39 PM,University,Coffee,Espresso,Espresso , Small,4.35,1,4.35,Card,C4160
T101972,1/10/2024,3:51 AM,Downtown,Coffee,Cappuccino,Cappuccino , Small,2.95,1,2.95,Cash,C5037
T102205,1/10/2024,11:30 AM,Downtown,Tea,Chai,Chai , Large,2.96,1,2.96,Card,C4410
T102524,1/10/2024,11:17 PM,Mall,Coffee,Latte,Latte , Medium,3.33,1,3.33,Cash,C6334
T102601,1/10/2024,4:10 AM,University,Coffee,Americano,Americano , Small,1.8,1,1.8,Card,C7760
T102683,1/10/2024,9:48 PM,Airport,Sandwich,Tuna Sandwich,Tuna Sandwich , Large,5.81,1,5.81,Card,C9003
T101122,1/11/2024,7:11 PM,Mall,Coffee,Espresso,Espresso , Medium,4.22,1,4.22,Card,C1840
T101292,1/11/2024,8:04 AM,Suburb,Pastry,Croissant,Croissant , Large,2.83,2,5.66,Mobile,C2288
T101379,1/11/2024,8:04 AM,Mall,Beverage,Lemonade,Lemonade , Medium,2.67,1,2.67,Cash,C7426
T101538,1/11/2024,11:09 AM,Mall,Tea,Herbal,Herbal , Medium,3.04,1,3.04,Cash,C8187
T101801,1/11/2024,8:08 PM,University,Coffee,Mocha,Mocha , Large,3.96,1,3.96,Card,C2320
T102240,1/11/2024,1:06 AM,Downtown,Pastry,Croissant,Croissant , Large,2,1,2,Mobile,C5808
T102600,1/11/2024,1:27 PM,Suburb,Coffee,Espresso,Espresso , Small,4.55,1,4.55,Card,C9488
T100518,1/12/2024,8:13 PM,Airport,Beverage,Smoothie,Smoothie , Large,2.7,1,2.7,Card,C6067
T100681,1/12/2024,5:22 PM,University,Sandwich,Chicken Sandwich,Chicken Sandwich , Large,3.5,1,3.5,Card,C6108
T100851,1/12/2024,3:30 PM,Downtown,Beverage,Iced Tea,Iced Tea , Large,3.42,1,3.42,Card,C4196
T101423,1/12/2024,7:05 AM,Airport,Beverage,Smoothie,Smoothie , Large,2.44,1,2.44,Card,C9367
T101433,1/12/2024,10:58 PM,Mall,Pastry,Scone,Scone , Medium,1.81,1,1.81,Card,C3871
T101667,1/12/2024,1:45 PM,Mall,Coffee,Flat White,Flat White , Small,4.96,1,4.96,Cash,C1652
T101700,1/12/2024,1:02 AM,Mall,Sandwich,Veggie Sandwich,Veggie Sandwich , Medium,5.59,1,5.59,Cash,C9141
T101754,1/12/2024,6:39 AM,Downtown,Coffee,Latte,Latte , Medium,3.57,1,3.57,Cash,C5590
T101870,1/12/2024,11:03 PM,Downtown,Tea,Black Tea,Black Tea , Small,2.45,1,2.45,Card,C7092
T101872,1/12/2024,7:02 AM,Downtown,Pastry,Muffin,Muffin , Medium,1.85,1,1.85,Card,C6586
T102020,1/12/2024,5:15 AM,Suburb,Coffee,Flat White,Flat White , Medium,3.28,1,3.28,Mobile,C8378
T102133,1/12/2024,1:23 AM,Mall,Coffee,Americano,Americano , Small,2.8,1,2.8,Card,C3465
T102318,1/12/2024,5:04 AM,Downtown,Coffee,Espresso,Espresso , Small,3.34,1,3.34,Cash,C7426
T102368,1/12/2024,5:18 AM,Airport,Tea,Black Tea,Black Tea , Medium,2.82,1,2.82,Card,C4216
T102412,1/12/2024,5:29 PM,Downtown,Pastry,Croissant,Croissant , Large,2.4,1,2.4,Card,C5103
T102695,1/12/2024,9:16 AM,Downtown,Sandwich,Tuna Sandwich,Tuna Sandwich , Small,5.82,1,5.82,Card,C2549
T102999,1/12/2024,2:22 AM,Downtown,Coffee,Mocha,Mocha , Medium,2.74,1,2.74,Cash,C5998
T100151,1/13/2024,1:53 AM,University,Coffee,Cappuccino,Cappuccino , Medium,2.83,1,2.83,Cash,C7864
T100378,1/13/2024,12:42 PM,University,Coffee,Flat White,Flat White , Small,2.82,1,2.82,Card,C7298
T100554,1/13/2024,6:40 AM,University,Coffee,Americano,Americano , Large,4.58,1,4.58,Card,C5358
T100916,1/13/2024,4:17 AM,Suburb,Coffee,Flat White,Flat White , Small,3.7,1,3.7,Cash,C3728
T101007,1/13/2024,9:38 AM,Mall,Pastry,Muffin,Muffin , Medium,1.34,1,1.34,Card,C6281
T101670,1/13/2024,8:44 AM,Mall,Tea,Green Tea,Green Tea , Medium,2.26,1,2.26,Mobile,C5611
T102484,1/13/2024,6:12 PM,Mall,Coffee,Latte,Latte , Small,3.08,1,3.08,Cash,C3792
T102689,1/13/2024,11:45 PM,University,Sandwich,Veggie Sandwich,Veggie Sandwich , Small,4.02,1,4.02,Card,C1976
T100050,1/14/2024,8:03 AM,Mall,Beverage,Iced Tea,Iced Tea , Small,2.42,1,2.42,Card,C1208
T100675,1/14/2024,2:09 PM,Downtown,Coffee,Flat White,Flat White , Medium,1.79,1,1.79,Card,C8792
T100885,1/14/2024,11:31 PM,Mall,Pastry,Muffin,Muffin , Large,2,1,2,Card,C7053
T100891,1/14/2024,10:52 AM,Airport,Tea,Herbal,Herbal , Small,2.3,1,2.3,Cash,C9560
T101057,1/14/2024,2:59 AM,Downtown,Coffee,Cappuccino,Cappuccino , Small,3.41,1,3.41,Card,C7260
T101318,1/14/2024,3:35 AM,Mall,Coffee,Latte,Latte , Small,3.02,1,3.02,Card,C5133
T101472,1/14/2024,8:55 AM,Airport,Coffee,Latte,Latte , Large,2.96,1,2.96,Cash,C7309
T101869,1/14/2024,1:23 PM,Suburb,Tea,Green Tea,Green Tea , Large,2.3,2,4.6,Cash,C2216
T101946,1/14/2024,8:42 AM,University,Coffee,Mocha,Mocha , Large,3.32,1,3.32,Mobile,C4027
T101955,1/14/2024,4:53 AM,Downtown,Coffee,Latte,Latte , Medium,4.14,1,4.14,Cash,C1851
T102382,1/14/2024,2:36 AM,Mall,Coffee,Latte,Latte , Large,4.11,1,4.11,Card,C6637
T102470,1/14/2024,5:54 PM,Downtown,Coffee,Mocha,Mocha , Large,4.3,2,8.6,Card,C6259
T102697,1/14/2024,10:10 AM,University,Beverage,Lemonade,Lemonade , Medium,2.1,1,2.1,Card,C3621
T102730,1/14/2024,1:07 AM,Mall,Beverage,Lemonade,Lemonade , Large,4.14,1,4.14,Cash,C6098
T100092,1/15/2024,2:56 PM,Suburb,Sandwich,Veggie Sandwich,Veggie Sandwich , Medium,4.16,1,4.16,Cash,C1837
T100134,1/15/2024,1:23 PM,University,Coffee,Latte,Latte , Medium,3.01,1,3.01,Cash,C9732
T100903,1/15/2024,12:08 AM,Airport,Pastry,Croissant,Croissant , Medium,2.14,1,2.14,Cash,C5805
T101077,1/15/2024,11:37 PM,Airport,Coffee,Cappuccino,Cappuccino , Medium,3.39,1,3.39,Cash,C4711
T101103,1/15/2024,2:00 AM,Airport,Coffee,Espresso,Espresso , Medium,3.57,2,7.14,Card,C9141
T101485,1/15/2024,8:35 AM,Mall,Pastry,Muffin,Muffin , Small,1.42,1,1.42,Card,C6254
T101748,1/15/2024,9:21 AM,Mall,Beverage,Lemonade,Lemonade , Large,2.9,2,5.8,Card,C1703
T101775,1/15/2024,9:53 AM,Downtown,Coffee,Flat White,Flat White , Small,3.62,1,3.62,Mobile,C7662
T100497,1/16/2024,9:07 PM,Downtown,Coffee,Espresso,Espresso , Medium,2.98,1,2.98,Card,C6764
T101454,1/16/2024,8:33 AM,Suburb,Sandwich,Veggie Sandwich,Veggie Sandwich , Medium,5.34,1,5.34,Cash,C2902
T101490,1/16/2024,8:09 AM,Mall,Tea,Black Tea,Black Tea , Small,1.74,1,1.74,Card,C5254
T100329,1/17/2024,4:40 PM,Downtown,Coffee,Mocha,Mocha , Large,2.41,1,2.41,Cash,C3390
T101183,1/17/2024,12:43 PM,Mall,Pastry,Croissant,Croissant , Large,1.6,1,1.6,Cash,C4768
T101344,1/17/2024,12:18 AM,Mall,Sandwich,Chicken Sandwich,Chicken Sandwich , Small,2.89,1,2.89,Mobile,C5405
T101408,1/17/2024,3:02 PM,Downtown,Tea,Chai,Chai , Large,2.57,1,2.57,Mobile,C9291
T101428,1/17/2024,5:54 PM,Downtown,Coffee,Cappuccino,Cappuccino , Medium,2.99,1,2.99,Mobile,C6422
T101675,1/17/2024,2:24 PM,Suburb,Tea,Black Tea,Black Tea , Small,1.71,1,1.71,Card,C5247
T101699,1/17/2024,8:04 AM,University,Tea,Chai,Chai , Large,2.93,1,2.93,Card,C8931
T102516,1/17/2024,9:55 AM,University,Coffee,Flat White,Flat White , Medium,3.32,1,3.32,Card,C8174
T102550,1/17/2024,1:17 AM,Mall,Sandwich,Chicken Sandwich,Chicken Sandwich , Large,4.19,1,4.19,Card,C1019
T102902,1/17/2024,10:36 PM,Mall,Coffee,Cappuccino,Cappuccino , Large,3.09,1,3.09,Card,C6735
T100352,1/18/2024,2:04 AM,Downtown,Pastry,Scone,Scone , Medium,2.04,1,2.04,Card,C6043
T101227,1/18/2024,5:25 AM,University,Coffee,Americano,Americano , Medium,3.07,1,3.07,Card,C9923
T101935,1/18/2024,7:39 PM,Downtown,Coffee,Flat White,Flat White , Small,3.25,1,3.25,Cash,C9166
T102623,1/18/2024,3:39 PM,Airport,Coffee,Cappuccino,Cappuccino , Small,4.48,1,4.48,Card,C9092
T100566,1/19/2024,2:12 PM,Suburb,Pastry,Croissant,Croissant , Small,1.84,1,1.84,Mobile,C3594
T100636,1/19/2024,9:13 AM,Mall,Sandwich,Tuna Sandwich,Tuna Sandwich , Large,6.6,1,6.6,Card,C3661
T101226,1/19/2024,6:36 PM,Airport,Pastry,Scone,Scone , Large,1.58,2,3.16,Cash,C1982
T102097,1/19/2024,6:15 PM,Mall,Beverage,Iced Tea,Iced Tea , Large,2.33,1,2.33,Cash,C5223
T102219,1/19/2024,9:22 AM,University,Sandwich,Chicken Sandwich,Chicken Sandwich , Small,5.09,1,5.09,Mobile,C4907
T102259,1/19/2024,1:30 PM,Airport,Coffee,Espresso,Espresso , Large,3.92,1,3.92,Mobile,C7356
T102660,1/19/2024,10:14 PM,Mall,Sandwich,Tuna Sandwich,Tuna Sandwich , Medium,4.14,1,4.14,Card,C5612
T102756,1/19/2024,4:37 AM,Downtown,Sandwich,Veggie Sandwich,Veggie Sandwich , Large,6.02,1,6.02,Mobile,C3796
T100383,1/20/2024,10:55 AM,Suburb,Beverage,Lemonade,Lemonade , Medium,2.85,1,2.85,Card,C3499
T100671,1/20/2024,1:31 PM,Airport,Coffee,Flat White,Flat White , Medium,3.26,1,3.26,Cash,C1658
T100987,1/20/2024,5:34 AM,Downtown,Coffee,Espresso,Espresso , Medium,4.28,2,8.56,Card,C4062
T101296,1/20/2024,11:42 AM,Suburb,Pastry,Bagel,Bagel , Small,1.12,1,1.12,Card,C5802
T101569,1/20/2024,11:25 AM,Mall,Pastry,Croissant,Croissant , Large,2.36,1,2.36,Card,C7725
T101914,1/20/2024,2:58 AM,University,Coffee,Flat White,Flat White , Large,3.08,1,3.08,Card,C9935
T102007,1/20/2024,5:36 PM,Mall,Beverage,Iced Tea,Iced Tea , Small,1.82,1,1.82,Card,C4019
T102420,1/20/2024,9:55 PM,Suburb,Coffee,Flat White,Flat White , Small,4.43,1,4.43,Cash,C1814
T102699,1/20/2024,6:29 AM,Suburb,Beverage,Smoothie,Smoothie , Large,3.56,1,3.56,Card,C8162
T102711,1/20/2024,5:31 PM,University,Coffee,Flat White,Flat White , Medium,3.37,1,3.37,Card,C5328
T102724,1/20/2024,7:00 AM,Mall,Coffee,Cappuccino,Cappuccino , Large,3.8,1,3.8,Card,C2111
T102933,1/20/2024,2:19 AM,Suburb,Tea,Black Tea,Black Tea , Large,2.43,1,2.43,Card,C8570
T100006,1/21/2024,2:39 PM,Suburb,Pastry,Croissant,Croissant , Medium,1.8,1,1.8,Cash,C2913
T100044,1/21/2024,7:05 AM,University,Pastry,Croissant,Croissant , Large,3.15,1,3.15,Cash,C3302
T101740,1/21/2024,7:28 PM,Airport,Coffee,Espresso,Espresso , Large,3.23,1,3.23,Card,C4889
T101937,1/21/2024,7:46 AM,Mall,Beverage,Smoothie,Smoothie , Large,3.81,1,3.81,Card,C1878
T102145,1/21/2024,5:06 PM,Airport,Tea,Herbal,Herbal , Large,2.42,1,2.42,Card,C9093
T102511,1/21/2024,10:05 PM,Mall,Sandwich,Tuna Sandwich,Tuna Sandwich , Small,5.3,1,5.3,Mobile,C6777
T102859,1/21/2024,11:53 AM,University,Pastry,Scone,Scone , Medium,1.97,1,1.97,Card,C3668
T102876,1/21/2024,8:37 PM,Suburb,Pastry,Croissant,Croissant , Medium,1.62,2,3.24,Cash,C6651
T100025,1/22/2024,2:39 AM,Downtown,Pastry,Scone,Scone , Medium,1.3,1,1.3,Card,C4469
T100307,1/22/2024,2:57 AM,University,Pastry,Bagel,Bagel , Small,0.93,1,0.93,Card,C4012
T100846,1/22/2024,3:18 AM,Suburb,Tea,Black Tea,Black Tea , Medium,2.52,2,5.04,Cash,C5681
T101702,1/22/2024,10:26 PM,Airport,Coffee,Latte,Latte , Small,3.28,1,3.28,Cash,C6777
T101734,1/22/2024,4:53 PM,Downtown,Coffee,Cappuccino,Cappuccino , Medium,3.54,1,3.54,Card,C8502
T101863,1/22/2024,1:35 AM,Mall,Coffee,Americano,Americano , Large,4.16,1,4.16,Card,C5111
T102640,1/22/2024,11:31 AM,Airport,Coffee,Espresso,Espresso , Large,4.39,1,4.39,Card,C2904
T102911,1/22/2024,8:33 PM,University,Coffee,Espresso,Espresso , Small,3.62,1,3.62,Card,C8317
T100482,1/23/2024,11:32 PM,Airport,Coffee,Latte,Latte , Large,3.49,1,3.49,Card,C8598
T100747,1/23/2024,11:14 PM,Downtown,Coffee,Espresso,Espresso , Medium,2.43,2,4.86,Mobile,C1997
T101062,1/23/2024,7:30 AM,University,Pastry,Bagel,Bagel , Small,2.03,1,2.03,Card,C4109
T101129,1/23/2024,3:05 AM,Downtown,Sandwich,Tuna Sandwich,Tuna Sandwich , Small,6.02,1,6.02,Card,C8675
T101657,1/23/2024,9:15 PM,Airport,Sandwich,Tuna Sandwich,Tuna Sandwich , Medium,4.13,1,4.13,Card,C9511
T102661,1/23/2024,12:07 PM,Downtown,Coffee,Cappuccino,Cappuccino , Large,2.8,1,2.8,Card,C2888
T101772,1/24/2024,7:06 PM,Downtown,Coffee,Latte,Latte , Medium,2.08,1,2.08,Card,C7087
T101909,1/24/2024,12:24 PM,Airport,Coffee,Espresso,Espresso , Large,4.45,1,4.45,Cash,C8729
T102712,1/24/2024,1:35 PM,Mall,Tea,Black Tea,Black Tea , Medium,2.75,1,2.75,Card,C4588
T102738,1/24/2024,9:39 AM,University,Beverage,Smoothie,Smoothie , Medium,3.31,1,3.31,Card,C7087
T100580,1/25/2024,3:13 AM,Mall,Beverage,Iced Tea,Iced Tea , Large,3.67,1,3.67,Card,C8753
T100914,1/25/2024,8:41 AM,Suburb,Tea,Herbal,Herbal , Small,1.55,1,1.55,Card,C1414
T100918,1/25/2024,1:30 AM,Mall,Coffee,Cappuccino,Cappuccino , Small,3.65,1,3.65,Card,C5641
T101177,1/25/2024,5:15 AM,Suburb,Coffee,Espresso,Espresso , Large,3.19,2,6.38,Card,C5848
T101190,1/25/2024,11:01 PM,Downtown,Coffee,Mocha,Mocha , Medium,4.46,1,4.46,Mobile,C1048
T101414,1/25/2024,7:03 AM,Downtown,Pastry,Croissant,Croissant , Small,1.91,1,1.91,Card,C5019
T101444,1/25/2024,7:17 PM,Downtown,Coffee,Cappuccino,Cappuccino , Large,3.92,1,3.92,Card,C9803
T101599,1/25/2024,2:13 AM,Mall,Coffee,Flat White,Flat White , Medium,2.75,1,2.75,Card,C9944
T101873,1/25/2024,7:21 PM,Downtown,Coffee,Espresso,Espresso , Large,3.14,1,3.14,Mobile,C8076
T102392,1/25/2024,4:20 PM,University,Coffee,Americano,Americano , Medium,3.76,1,3.76,Cash,C2630
T102405,1/25/2024,11:32 PM,Mall,Beverage,Iced Tea,Iced Tea , Small,2.31,1,2.31,Card,C1793
T102408,1/25/2024,3:13 PM,University,Sandwich,Veggie Sandwich,Veggie Sandwich , Small,5.77,1,5.77,Card,C4595
T100375,1/26/2024,6:31 PM,Downtown,Coffee,Mocha,Mocha , Small,4.35,2,8.7,Card,C3268
T100872,1/26/2024,8:57 PM,Airport,Beverage,Smoothie,Smoothie , Large,3.77,1,3.77,Cash,C1453
T100977,1/26/2024,5:28 AM,Mall,Sandwich,Veggie Sandwich,Veggie Sandwich , Medium,4.06,1,4.06,Card,C1544
T101450,1/26/2024,10:34 PM,University,Coffee,Cappuccino,Cappuccino , Large,3.99,1,3.99,Cash,C2610
T101720,1/26/2024,1:59 PM,Mall,Beverage,Smoothie,Smoothie , Large,2.3,1,2.3,Card,C5341
T102061,1/26/2024,12:03 PM,Mall,Coffee,Latte,Latte , Large,2.07,1,2.07,Card,C2972
T102202,1/26/2024,4:31 AM,Downtown,Tea,Green Tea,Green Tea , Small,1.92,1,1.92,Cash,C6378
T102948,1/26/2024,4:15 PM,University,Coffee,Americano,Americano , Large,4.41,1,4.41,Mobile,C8845
T100316,1/27/2024,10:10 AM,University,Coffee,Mocha,Mocha , Small,3.98,1,3.98,Card,C3335
T101352,1/27/2024,8:29 PM,Downtown,Sandwich,Tuna Sandwich,Tuna Sandwich , Large,5.72,1,5.72,Card,C4043
